promoter/RBS,k,n,K1,alpha,R2,,,
Plac/rbs30,9456+487,1.37+0.27,0.228+0.039,0.0012+0.0276,0.9983,,,
Plac/rbs31,525.8+36.2,1.363+0.366,0.294+0.065,0.1335+0.0411,0.9972,,,
Plac/rbs32,195.5+17.7,1.637+0.62,0.218+0.065,0.1487+0.0609,0.994,,,
Plac/rbs33,27.61+1200000000,1.93E-10,0.1,0.975+65000000,24000000000,,,
Plac/rbs34,7648+152,1.369+0.124,0.259+0.021,1.47E-09,0.9991,,,
Plac/rbsH,2071+100,1.282+0.231,0.287+0.045,0.0037+0.0241,0.9987,,,
PBAD/rbs30,104800+2600,1.228+0.104,0.370+0.028,0.0055+0.0104,0.9997,,,
PBAD/rbs31,85210+4340,1.512+0.314,0.417+0.062,0.0051+0.0229,0.9986,,,
PBAD/rbs32,52080+980,1.268+0.078,0.516+0.029,0.0026+0.0072,0.9999,,,
PBAD/rbs33,12900+460,1.323+0.161,0.513+0.055,0.0013+0.014,0.9994,,,
PBAD/rbs34,141100+6300,1.173+0.162,0.524+0.072,0.0050+0.0163,0.9992,,,
PBAD/rbsH,92290+1890,1.415+0.107,0.480+0.029,0.0033+0.0086,0.9998,,,
Plux/rbs30,122100+8400,1.584+0.422,3.07E-06,0.0095+0.032,0.9955,,,
Plux/rbs31,76930+2100,1.771+0.193,2.96E-06,0.0126+0.013,0.9993,,,
Plux/rbs32,51430+1610,1.655+0.202,3.51E-06,0.0113+0.0143,0.9991,,,
Plux/rbs33,1970+61,1.742+0.212,3.36E-06,0.0308+0.0148,0.9991,,,
Plux/rbs34,134900+10300,1.898+059,2.89E-06,0.0149+0.0373,0.9944,,,
Plux/rbsH,31940+1370,1.616+0.269,3.78E-06,0.0114+0.0192,0.9984,,,
Plac/rbsH (37C),2946+32,1.697+0.271,0.116+0.011,0.0160+0.019,0.9993,,,
PBAD/rbs33 (37C),12030+170,1.396+0.078,0.525+0.026,4.69E-10,0.9998,,,
Plux/rbs33 (37C),1987+142,1.776+0.682,0.00000527+2900000,0.00000022+0.0381,0.9964,,,
